cutoff,sleep_mean,diff
88.0000,7.8009,0.8482
88.1000,7.8009,0.8482
88.2000,7.7896,0.8369
88.3000,7.7896,0.8369
88.4000,7.6229,0.6702
88.5000,7.6229,0.6702
88.6000,7.6229,0.6702
88.7000,7.6229,0.6702
88.8000,7.6229,0.6702
88.9000,7.6229,0.6702
89.0000,7.6229,0.6702
89.1000,7.6097,0.6571
89.2000,7.4170,0.4643
89.3000,7.4170,0.4643
89.4000,7.4170,0.4643
89.5000,7.4170,0.4643
89.6000,7.4170,0.4643
89.7000,7.4170,0.4643
89.8000,7.4170,0.4643
89.9000,7.4170,0.4643
90.0000,7.4170,0.4643
90.1000,7.1803,0.2277
90.2000,7.1803,0.2277
90.3000,7.1803,0.2277
90.4000,7.1803,0.2277
90.5000,7.1803,0.2277
90.6000,7.1803,0.2277
90.7000,7.1803,0.2277
90.8000,7.1803,0.2277
90.9000,6.9197,0.0329
91.0000,6.9024,0.0502
91.1000,6.9024,0.0502
91.2000,6.9024,0.0502
91.3000,6.9024,0.0502
91.4000,6.9024,0.0502
91.5000,6.9024,0.0502
91.6000,6.9024,0.0502
91.7000,6.5922,0.3605
91.8000,6.5922,0.3605
91.9000,6.5733,0.3794
92.0000,6.5733,0.3794
92.1000,6.5733,0.3794
92.2000,6.5733,0.3794
92.3000,6.5733,0.3794
92.4000,6.5733,0.3794
92.5000,6.5733,0.3794
92.6000,6.2088,0.7439
92.7000,6.2088,0.7439
92.8000,6.1847,0.7679
92.9000,6.1847,0.7679
93.0000,6.1847,0.7679
93.1000,6.1847,0.7679
93.2000,6.1847,0.7679
93.3000,6.1847,0.7679
93.4000,5.7691,1.1835
93.5000,5.7691,1.1835
93.6000,5.7691,1.1835
93.7000,5.7413,1.2114
93.8000,5.7413,1.2114
93.9000,5.7413,1.2114
94.0000,5.7413,1.2114
94.1000,5.7413,1.2114
94.2000,5.2634,1.6893
94.3000,5.2634,1.6893
94.4000,5.2634,1.6893
94.5000,5.2634,1.6893
94.6000,5.2324,1.7202
94.7000,5.2324,1.7202
94.8000,5.2324,1.7202
94.9000,5.2324,1.7202
95.0000,5.2324,1.7202
95.1000,4.7015,2.2511
95.2000,4.7015,2.2511
95.3000,4.7015,2.2511
95.4000,4.7015,2.2511
95.5000,4.6635,2.2891
95.6000,4.6635,2.2891
95.7000,4.6635,2.2891
95.8000,4.6635,2.2891
95.9000,4.1069,2.8457
96.0000,4.1069,2.8457
96.1000,4.1069,2.8457
96.2000,4.1069,2.8457
96.3000,4.1069,2.8457
96.4000,4.0648,2.8879
96.5000,4.0648,2.8879
96.6000,4.0648,2.8879
96.7000,3.5085,3.4442
96.8000,3.5085,3.4442
96.9000,3.5085,3.4442
97.0000,3.5085,3.4442
97.1000,3.5085,3.4442
97.2000,3.5085,3.4442
97.3000,3.4653,3.4873
97.4000,3.4653,3.4873
97.5000,3.4653,3.4873
97.6000,2.9612,3.9915
97.7000,2.9612,3.9915
97.8000,2.9612,3.9915
97.9000,2.9612,3.9915
98.0000,2.9612,3.9915
98.1000,2.9612,3.9915
98.2000,2.9219,4.0308
98.3000,2.9219,4.0308
98.4000,2.5087,4.4440
98.5000,2.5087,4.4440
98.6000,2.5087,4.4440
98.7000,2.5087,4.4440
98.8000,2.5087,4.4440
98.9000,2.5087,4.4440
99.0000,2.5087,4.4440
99.1000,2.4758,4.4768
99.2000,2.1624,4.7902
99.3000,2.1624,4.7902
99.4000,2.1624,4.7902
99.5000,2.1624,4.7902
99.6000,2.1624,4.7902
99.7000,2.1624,4.7902
99.8000,2.1624,4.7902
99.9000,2.1624,4.7902
100.0000,2.1624,4.7902
